#################################################################################
#
# This file is used for mapping newbase identifiers to FMI identifiers. Notice
# that this file is created for special purposes. It assumes that each Newbase
# parameter name have exactly same FMI parameter name. This means that we can
# do mappings without any unit conversions.
#
# Add the name of this file into the "grid-files.conf" file so that the programs 
# can find it.
#
# FIELDS:
# 1) FmiParameterId/FmiParameterName
# 2) NewbaseParameterId/NewbaseParameterName
# 3) ConversionFunction
# 4) ReverseConversionFunction
#
#################################################################################

WaterVapourBrightnessTemperature;WaterVapourBrightnessTemperature;;;
WaterVapourBrightnessTemperatureIncludingCloudCorrection;WaterVapourBrightnessTemperatureIncludingCloudCorrection;;;
MaximumIcingIndex;MaximumIcingIndex;;;
CloudWaterReflectivity;CloudWaterReflectivity;;;
SatoKierto;SatoKierto;;;
FrostProbability;FrostProbability;;;
SevereFrostProbability;SevereFrostProbability;;;
ConvectiveSnowFallRate;ConvectiveSnowFallRate;;;
LargeScaleSnowFallRate;LargeScaleSnowFallRate;;;
ConvectiveAvailablePotentialEnergy;ConvectiveAvailablePotentialEnergy;;;
Roughness;Roughness;;;
StormRelativeHelicity;StormRelativeHelicity;;;
SurfaceRoughnessAtSea;SurfaceRoughnessAtSea;;;
IceConcentration;IceConcentration;;;
IceThickness;IceThickness;;;
IceMinThickness;IceMinThickness;;;
IceMaxThickness;IceMaxThickness;;;
IceDegreeOfRidging;IceDegreeOfRidging;;;
IceSpeed;IceSpeed;;;
IceDirection;IceDirection;;;
CanopyWater;CanopyWater;;;
GroundFrost;GroundFrost;;;
SurfaceTypeFraction;SurfaceTypeFraction;;;
SoilType;SoilType;;;
GroundWaterLevel;GroundWaterLevel;;;
GroundWaterLevelIndex;GroundWaterLevelIndex;;;
VegetationType;VegetationType;;;
ForecasterCode;ForecasterCode;;;
WmoBlockNumber;WmoBlockNumber;;;
WmoStationNumber;WmoStationNumber;;;
StationType;StationType;;;
Latitude;Latitude;;;
Longitude;Longitude;;;
PressureChange;PressureChange;;;
Visibility;Visibility;;;
PresentWeather;PresentWeather;;;
PastWeather1;PastWeather1;;;
PastWeather2;PastWeather2;;;
LowCloudType;LowCloudType;;;
MiddleCloudType;MiddleCloudType;;;
HighCloudType;HighCloudType;;;
CloudHeight;CloudHeight;;;
PrecipitationPeriod;PrecipitationPeriod;;;
MaximumWind;MaximumWind;;;
WindGust;WindGust;;;
OldVisibility;OldVisibility;;;
VisibilityChange;VisibilityChange;;;
RainOnOff;RainOnOff;;;
SunOnOff;SunOnOff;;;
WetnessOnOff;WetnessOnOff;;;
RainMinutes;RainMinutes;;;
StateOfGround;StateOfGround;;;
SnowDepth06;SnowDepth06;;;
SnowDepth18;SnowDepth18;;;
DailyMeanTemperature;DailyMeanTemperature;;;
MinimumTemperature06;MinimumTemperature06;;;
MaximumTemperature06;MaximumTemperature06;;;
MinimumGroundTemperature06;MinimumGroundTemperature06;;;
MinimumTemperature18;MinimumTemperature18;;;
MaximumTemperature18;MaximumTemperature18;;;
MonthlyMeanTemperature;MonthlyMeanTemperature;;;
MonthlyPrecipitation;MonthlyPrecipitation;;;
SunHours;SunHours;;;
DailyGlobalRadiation;DailyGlobalRadiation;;;
DailyDiffuseRadiation;DailyDiffuseRadiation;;;
DailyReflectedRadiation;DailyReflectedRadiation;;;
DailyNetRadiation;DailyNetRadiation;;;
PrecipitationReliability;PrecipitationReliability;;;
TotalOzone;TotalOzone;;;
UVCumulated;UVCumulated;;;
UVMaximum;UVMaximum;;;
TimeOfUVMaximum;TimeOfUVMaximum;;;
DailyPrecipitationCode;DailyPrecipitationCode;;;
HourlySunShine;HourlySunShine;;;
HourlyGlobalRadiation;HourlyGlobalRadiation;;;
HourlyDiffuseRadiation;HourlyDiffuseRadiation;;;
HourlyReflectedRadiation;HourlyReflectedRadiation;;;
HourlyNetRadiation;HourlyNetRadiation;;;
MonthlyMeanPrecipitation3160;MonthlyMeanPrecipitation3160;;;
MonthlyMeanTemperature3160;MonthlyMeanTemperature3160;;;
MonthlyMeanCloudiness3160;MonthlyMeanCloudiness3160;;;
Monthly15SnowDepth3160;Monthly15SnowDepth3160;;;
MonthlyMeanPrecipitation6190;MonthlyMeanPrecipitation6190;;;
MonthlyMeanTemperature6190;MonthlyMeanTemperature6190;;;
MonthlyMeanCloudiness6190;MonthlyMeanCloudiness6190;;;
Monthly15SnowDepth6190;Monthly15SnowDepth6190;;;
HourlyPressure;HourlyPressure;;;
HourlyTemperature;HourlyTemperature;;;
HourlyMinimumTemperature;HourlyMinimumTemperature;;;
HourlyMaximumTemperature;HourlyMaximumTemperature;;;
HourlyRelativeHumidity;HourlyRelativeHumidity;;;
HourlyWindSpeed;HourlyWindSpeed;;;
HourlyMinimumWindSpeed;HourlyMinimumWindSpeed;;;
HourlyMaximumWindSpeed;HourlyMaximumWindSpeed;;;
HourlyMaximumGust;HourlyMaximumGust;;;
HourlyWindDirection;HourlyWindDirection;;;
HourlyMaxRainIntensity;HourlyMaxRainIntensity;;;
RainIntensityWeather;RainIntensityWeather;;;
HourlyWaterTemperature;HourlyWaterTemperature;;;
PressureAtStationLevel;PressureAtStationLevel;;;
Precipitation06;Precipitation06;;;
Precipitation18;Precipitation18;;;
FlAltitude;FlAltitude;;;
PhaseOfFlight;PhaseOfFlight;;;
Turbulence;Turbulence;;;
BaseOfTurbulence;BaseOfTurbulence;;;
TopOfTurbulence;TopOfTurbulence;;;
Icing;Icing;;;
StdDevTotalCloud;StdDevTotalCloud;;;
TemperatureHighCld;TemperatureHighCld;;;
StdDevHighCld;StdDevHighCld;;;
TemperatureLMCld;TemperatureLMCld;;;
StdDevLMCld;StdDevLMCld;;;
FogPercentage;FogPercentage;;;
LandPercentage;LandPercentage;;;
SeaPercentage;SeaPercentage;;;
SnowPercentage;SnowPercentage;;;
SunGlintPercentage;SunGlintPercentage;;;
IR;IR;;;
VIS;VIS;;;
WV;WV;;;
CH112;CH112;;;
Precipitation7Days;Precipitation7Days;;;
Precipitation10Days;Precipitation10Days;;;
Precipitation30Days;Precipitation30Days;;;
SunSeconds;SunSeconds;;;
HaKeTaskCode;HaKeTaskCode;;;
CloudBase;CloudBase;;;
1CloudCover;1CloudCover;;;
1CloudBase;1CloudBase;;;
2CloudCover;2CloudCover;;;
2CloudBase;2CloudBase;;;
3CloudCover;3CloudCover;;;
3CloudBase;3CloudBase;;;
4CloudCover;4CloudCover;;;
4CloudBase;4CloudBase;;;
CbCloudCover;CbCloudCover;;;
CbCloudBase;CbCloudBase;;;
SolarElevation;SolarElevation;;;
CloudCeilingHFT;CloudCeilingHFT;;;
WindGustKT;WindGustKT;;;
AviVis;AviVis;;;
VerVis;VerVis;;;
WindSpeedKT;WindSpeedKT;;;
HourlyMaximumGustKT;HourlyMaximumGustKT;;;
WindVectorKT;WindVectorKT;;;
WeatherSymbolTaf;WeatherSymbolTaf;;;
AviationWeather1;AviationWeather1;;;
AviationWeather2;AviationWeather2;;;
AviationWeather3;AviationWeather3;;;
PackedAviationCloud1;PackedAviationCloud1;;;
PackedAviationCloud2;PackedAviationCloud2;;;
PackedAviationCloud3;PackedAviationCloud3;;;
PackedAviationCloud4;PackedAviationCloud4;;;
LandCover;LandCover;;;
GrassFireIndex;GrassFireIndex;;;
IceCover;IceCover;;;
DeepSoilTemperature;DeepSoilTemperature;;;
DeepSoilMoistureContent;DeepSoilMoistureContent;;;
ForestGroundHumidity;ForestGroundHumidity;;;
FieldGroundHumidity;FieldGroundHumidity;;;
Precipitation5d;Precipitation5d;;;
ForestFireWarning;ForestFireWarning;;;
ForestFireIndex;ForestFireIndex;;;
GroundHumidityForest;GroundHumidityForest;;;
ClusterTemperature1;ClusterTemperature1;;;
ClusterTemperature2;ClusterTemperature2;;;
ClusterTemperature3;ClusterTemperature3;;;
ClusterTemperature4;ClusterTemperature4;;;
ClusterTemperature5;ClusterTemperature5;;;
ClusterTemperature6;ClusterTemperature6;;;
ClusterGeopHeight1;ClusterGeopHeight1;;;
ClusterGeopHeight2;ClusterGeopHeight2;;;
ClusterGeopHeight3;ClusterGeopHeight3;;;
ClusterGeopHeight4;ClusterGeopHeight4;;;
ClusterGeopHeight5;ClusterGeopHeight5;;;
ClusterGeopHeight6;ClusterGeopHeight6;;;
EFIWindSpeed;EFIWindSpeed;;;
EFITemperature;EFITemperature;;;
EFIWindGust;EFIWindGust;;;
EFIPrecipitation;EFIPrecipitation;;;
ProbabilityOfTemp;ProbabilityOfTemp;;;
ProbabilityOfTempLimit1;ProbabilityOfTempLimit1;;;
ProbabilityOfTempLimit2;ProbabilityOfTempLimit2;;;
ProbabilityOfTempLimit3;ProbabilityOfTempLimit3;;;
ProbabilityOfTempLimit4;ProbabilityOfTempLimit4;;;
ProbabilityOfPrec;ProbabilityOfPrec;;;
ProbabilityOfPrecLimit1;ProbabilityOfPrecLimit1;;;
ProbabilityOfPrecLimit2;ProbabilityOfPrecLimit2;;;
ProbabilityOfPrecLimit3;ProbabilityOfPrecLimit3;;;
