# This file is automatically generated by the 'radon2config' program. It defines FMI parameters used
# in the Radon database.
#
# Do not edit this file, because all changes will be overridden.
#
# FIELDS:
# 1) FmiParameterId
# 2) NewbaseParameterId
# 3) ConversionFunction
#

# Minimum temperature at 2m since previous post-processing
# MINT2M-C => UNKNOWN
# Total precipitation
# RR-MM10 => PrecipitationAmount
178;50;;

# Total precipitation in kg/m2
# RR-KGM2 => PrecipitationAmount
179;50;MUL{$,1000.000000}

# Rain Symbol 2
# RRSYM2-N => UNKNOWN
180;0;;

# Rain over the last 6 hours in mm
# RR-6-MM => Precipitation6h
181;355;;

# Rain over the last 12 hours in mm
# RR-12-MM => Precipitation12h
182;356;;

# Large Scale precipitation in 10ths of mm
# RRL-MM10 => PrecipitationLarge
183;55;;

# Large Scale precipitation in kg/m2
# RRL-KGM2 => PrecipitationLarge
184;55;MUL{$,1000.000000}

# Convective precipitation in 10ths of mm
# RRC-MM10 => PrecipitationConv
185;48;;

# Convective precipitation in kg/m2
# RRC-KGM2 => PrecipitationConv
186;48;MUL{$,1000.000000}

# Total Cloud Cover in %
# N-PRCNT => TotalCloudCover
187;79;MUL{$,100.000000}

# Stability index (-50 -> 50)
# KINDEX-N => KIndex
188;80;;

# Simple weather symbol fo HS and others
# HESSAA-N => WeatherSymbol3
189;338;;

# Precipitation Large Scale in m
# RRL-M => UNKNOWN
191;0;;

# Precipitation Convective in m
# RRC-M => UNKNOWN
192;0;;

# Precipitation Snow in meters
# RRS-M => UNKNOWN
193;0;;

# Log Surface Pressure
# LNSP-N => LogNatOfPressure
194;145;;

# Geopotential Height
# ZH-GPM => GeopHeight
195;2;;

# Low Cloud Amount
# NL-PRCNT => LowCloudCover
196;273;MUL{$,100.000000}

# Medium Cloud Amount
# NM-PRCNT => MediumCloudCover
197;274;MUL{$,100.000000}

# High Cloud Amount
# NH-PRCNT => HighCloudCover
198;275;MUL{$,100.000000}

# ALBEDO in %
# ALBEDO-PRCNT => UNKNOWN
199;0;;

# Large Scale Precipitation rate in kg m-2
# RRRL-KGM2 => PrecipitationRateLarge
200;200;;

# Convective Precipitation rate in kg m-2
# RRRC-KGM2 => NEWBASE-PARAMETER[72]
201;72;;

# Convective Precipitation rate in kg m-2
# RRRC-KGM2 => PrecipitationRateConv
201;201;;

# Absolute Vorticity in HZ/10000
# ABSVO-HZ-5 => UNKNOWN
202;0;;

# Absolute Vorticity in HZ
# ABSVO-HZ => VorticityAbsolute
203;31;;

# Front Symbol
# FRNTSYM-N => FrontSymbol
204;333;;

# Present Weather
# WW-N => UNKNOWN
206;0;;

# Past Weather 1
# W1-N => UNKNOWN
207;0;;

# Past Weather 2
# W2-N => UNKNOWN
208;0;;

# Cloud Height in  Meters
# H-M => CloudHeight
209;414;;

# Low Cloud Type
# CL-N => UNKNOWN
210;0;;

# Medium Cloud Type
# CM-N => UNKNOWN
211;0;;

# High Cloud Type
# CH-N => UNKNOWN
212;0;;

# Period of Rain Amount in Seconds
# RRT-S => UNKNOWN
213;0;;

# Maximum Temperature in Kelvins
# TMAX-K => MaximumTemperature
214;5;SUM{$,-273.15}

# Maximum Temperature in Kelvins
# TMAX-K => MaximumTemperature2m
214;360;SUM{$,-273.15}

# Minimum Temperature in Kelvins
# TMIN-K => MinimumTemperature
215;6;SUM{$,-273.15}

# Minimum Temperature in Kelvins
# TMIN-K => MinimumTemperature2m
215;361;SUM{$,-273.15}

# Ground Temperature in Kelvins
# TG-K => GroundTemperature
216;288;SUM{$,-273.15}

# Snow Depth in Meters
# SD-M => SnowDepth
217;51;;

# Skin temperature
# SKT-K => SkinTemperature
218;235;SUM{$,-273.15}

# Lapse rate K/m
# LR-KM => LapseRate
219;46;;

# Height of cloud top
# CLDTOP-M => CloudTop
220;1174;;

# Large scale snow accumulation in kg/m2
# SNL-KGM2 => LargeScaleSnow
221;279;;

# Convective snow accumulation in kg/m2
# SNC-KGM2 => ConvectiveSnow
222;278;;

# Large scale snowfall rate in mm/h
