# Parameter;FmiLevelId;Units;Alias1;Alias2;Alias3;
atmosphere_mass_content_of_sulfate_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_sulfate_dry_aerosol;;
atmosphere_mass_content_of_sulfate_dry_aerosol_particles_expressed_as_sulfur;;1;kg m-2;atmosphere_mass_content_of_sulfate_dry_aerosol_expressed_as_sulfur;atmosphere_mass_content_of_sulfate_expressed_as_sulfur_dry_aerosol;
atmosphere_mass_content_of_sulfur_dioxide;;1;kg m-2;;;
atmosphere_mass_content_of_terpenes;;1;kg m-2;;;
atmosphere_mass_content_of_toluene;;1;kg m-2;;;
atmosphere_mass_content_of_volcanic_ash;;1;kg m-2;;;
atmosphere_mass_content_of_water;;1;kg m-2;;;
atmosphere_mass_content_of_water_in_ambient_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_water_in_ambient_aerosol;;
atmosphere_mass_content_of_water_vapor;;1;kg m-2;atmosphere_water_vapor_content;;
atmosphere_mass_content_of_xylene;;1;kg m-2;;;
atmosphere_mass_of_air_per_unit_area;;1;kg m-2;;;
atmosphere_mass_of_carbon_dioxide;;1;kg;;;
atmosphere_mass_per_unit_area;;1;kg m-2;;;
atmosphere_mole_content_of_carbon_monoxide;;1;mol m-2;;;
atmosphere_mole_content_of_methane;;1;mol m-2;;;
atmosphere_mole_content_of_nitrogen_dioxide;;1;mol m-2;;;
atmosphere_mole_content_of_ozone;;1;mol m-2;;;
atmosphere_mole_content_of_water_vapor;;1;mol m-2;;;
atmosphere_moles_of_acetic_acid;;1;mol;;;
atmosphere_moles_of_aceto_nitrile;;1;mol;;;
atmosphere_moles_of_alpha_hexachlorocyclohexane;;1;mol;;;
atmosphere_moles_of_alpha_pinene;;1;mol;;;
atmosphere_moles_of_ammonia;;1;mol;;;
atmosphere_moles_of_anthropogenic_nmvoc_expressed_as_carbon;;1;mol;;;
atmosphere_moles_of_atomic_bromine;;1;mol;;;
atmosphere_moles_of_atomic_chlorine;;1;mol;;;
atmosphere_moles_of_atomic_nitrogen;;1;mol;;;
atmosphere_moles_of_benzene;;1;mol;;;
atmosphere_moles_of_beta_pinene;;1;mol;;;
atmosphere_moles_of_biogenic_nmvoc_expressed_as_carbon;;1;mol;;;
atmosphere_moles_of_bromine_chloride;;1;mol;;;
atmosphere_moles_of_bromine_monoxide;;1;mol;;;
atmosphere_moles_of_bromine_nitrate;;1;mol;;;
atmosphere_moles_of_brox_expressed_as_bromine;;1;mol;;;
atmosphere_moles_of_butane;;1;mol;;;
atmosphere_moles_of_carbon_dioxide;;1;mol;;;
atmosphere_moles_of_carbon_monoxide;;1;mol;moles_of_carbon_monoxide_in_atmosphere;;
atmosphere_moles_of_carbon_tetrachloride;;1;mol;moles_of_carbon_tetrachloride_in_atmosphere;;
atmosphere_moles_of_cfc11;;1;mol;moles_of_cfc11_in_atmosphere;;
atmosphere_moles_of_cfc113;;1;mol;moles_of_cfc113_in_atmosphere;;
atmosphere_moles_of_cfc113a;;1;mol;;;
atmosphere_moles_of_cfc114;;1;mol;moles_of_cfc114_in_atmosphere;;
atmosphere_moles_of_cfc115;;1;mol;moles_of_cfc115_in_atmosphere;;
atmosphere_moles_of_cfc12;;1;mol;moles_of_cfc12_in_atmosphere;;
atmosphere_moles_of_chlorine_dioxide;;1;mol;;;
atmosphere_moles_of_chlorine_monoxide;;1;mol;;;
atmosphere_moles_of_chlorine_nitrate;;1;mol;;;
atmosphere_moles_of_clox_expressed_as_chlorine;;1;mol;;;
atmosphere_moles_of_dichlorine_peroxide;;1;mol;;;
atmosphere_moles_of_dimethyl_sulfide;;1;mol;;;
atmosphere_moles_of_dinitrogen_pentoxide;;1;mol;;;
atmosphere_moles_of_ethane;;1;mol;;;
atmosphere_moles_of_ethanol;;1;mol;;;
atmosphere_moles_of_ethene;;1;mol;;;
atmosphere_moles_of_ethyne;;1;mol;;;
atmosphere_moles_of_formaldehyde;;1;mol;;;
atmosphere_moles_of_formic_acid;;1;mol;;;
atmosphere_moles_of_gaseous_divalent_mercury;;1;mol;;;
atmosphere_moles_of_gaseous_elemental_mercury;;1;mol;moles_of_halon1202_in_atmosphere;;
atmosphere_moles_of_halon1202;;1;mol;;;
atmosphere_moles_of_halon1211;;1;mol;moles_of_halon1211_in_atmosphere;;
atmosphere_moles_of_halon1301;;1;mol;moles_of_halon1301_in_atmosphere;;
atmosphere_moles_of_halon2402;;1;mol;moles_of_halon2402_in_atmosphere;;
atmosphere_moles_of_hcc140a;;1;mol;moles_of_hcc140a_in_atmosphere;;
atmosphere_moles_of_hcfc141b;;1;mol;;;
atmosphere_moles_of_hcfc142b;;1;mol;;;
atmosphere_moles_of_hcfc22;;1;mol;moles_of_hcfc22_in_atmosphere;;
atmosphere_moles_of_hexachlorobiphenyl;;1;mol;;;
atmosphere_moles_of_hox_expressed_as_hydrogen;;1;mol;;;
atmosphere_moles_of_hydrogen_bromide;;1;mol;;;
atmosphere_moles_of_hydrogen_chloride;;1;mol;;;
atmosphere_moles_of_hydrogen_cyanide;;1;mol;;;
atmosphere_moles_of_hydrogen_peroxide;;1;mol;;;
atmosphere_moles_of_hydroperoxyl_radical;;1;mol;;;
atmosphere_moles_of_hydroxyl_radical;;1;mol;;;
atmosphere_moles_of_hypobromous_acid;;1;mol;;;
atmosphere_moles_of_hypochlorous_acid;;1;mol;;;
atmosphere_moles_of_inorganic_bromine;;1;mol;;;
atmosphere_moles_of_inorganic_chlorine;;1;mol;;;
atmosphere_moles_of_isoprene;;1;mol;;;
atmosphere_moles_of_limonene;;1;mol;;;
atmosphere_moles_of_methane;;1;mol;moles_of_methane_in_atmosphere;;
atmosphere_moles_of_methanol;;1;mol;;;
atmosphere_moles_of_methyl_bromide;;1;mol;moles_of_methyl_bromide_in_atmosphere;;
atmosphere_moles_of_methyl_chloride;;1;mol;moles_of_methyl_chloride_in_atmosphere;;
atmosphere_moles_of_methyl_hydroperoxide;;1;mol;;;
